Title,Rating,Discount,Discounted Price,Original Price,Release date,Reviews,Windows support,Mac Support,Linux Support,Date scraped
DOOM Eternal,9,-67%,"19,79€","59,99€","19 Mar, 2020",77698,"""1""",0,0,27/11/2020 10:56:33
Borderlands 3,9,-67%,"19,79€","59,99€","13 Mar, 2020",44676,"""1""",0,0,27/11/2020 10:56:33
The Sims™ 4,9,-88%,"4,79€","39,99€","18 Jun, 2020",5434,"""1""",0,0,27/11/2020 10:56:33
Red Dead Redemption 2,9,-33%,"40,19€","59,99€","5 Dec, 2019",117972,"""1""",0,0,27/11/2020 10:56:33
Sid Meier’s Civilization® VI,9,-75%,"14,99€","59,99€","20 Oct, 2016",93355,"""1""","""1""","""1""",27/11/2020 10:56:33
Halo: The Master Chief Collection,9,-35%,"25,99€","39,99€","3 Dec, 2019",113418,"""1""",0,0,27/11/2020 10:56:33
STAR WARS Jedi: Fallen Order™,9,-60%,"23,99€","59,99€","15 Nov, 2019",52240,"""1""",0,0,27/11/2020 10:56:33
DEATH STRANDING,9,-50%,"29,99€","59,99€","14 Jul, 2020",20141,"""1""",0,0,27/11/2020 10:56:33
Total War: WARHAMMER II,9,-66%,"20,39€","59,99€","28 Sep, 2017",54293,"""1""","""1""","""1""",27/11/2020 10:56:33
Control Ultimate Edition,9,-50%,"19,99€","39,99€","27 Aug, 2020",7059,"""1""",0,0,27/11/2020 10:56:33
The Witcher 3: Wild Hunt - Game of the Year Edition,10,-70%,"14,99€","49,99€","30 Aug, 2016",412568,"""1""",0,0,27/11/2020 10:56:33
Hades,10,-20%,"16,79€","20,99€","17 Sep, 2020",69483,"""1""","""1""",0,27/11/2020 10:56:33
The Witcher® 3: Wild Hunt,10,-70%,"8,99€","29,99€","18 May, 2015",401570,"""1""",0,0,27/11/2020 10:56:33
Assassin's Creed® Odyssey,9,-70%,"17,99€","59,99€","5 Oct, 2018",74899,"""1""",0,0,27/11/2020 10:56:33
Metro Exodus,9,-60%,"15,99€","39,99€","14 Feb, 2020",33126,"""1""",0,0,27/11/2020 10:56:33
STAR WARS™: Squadrons,7,-40%,"23,99€","39,99€","1 Oct, 2020",13245,"""1""",0,0,27/11/2020 10:56:33
DARK SOULS™ III,9,-75%,"14,99€","59,99€","11 Apr, 2016",142372,"""1""",0,0,27/11/2020 10:56:33
Euro Truck Simulator 2,10,-75%,"4,99€","19,99€","12 Oct, 2012",269108,"""1""","""1""","""1""",27/11/2020 10:56:33
Stellaris,9,-75%,"9,99€","39,99€","9 May, 2016",65092,"""1""","""1""","""1""",27/11/2020 10:56:33
